Designator,Mid X,Mid Y,Rotation,Layer
A1,114.224,-90.473,0.0,bottom
C1,120.1625,-62.25,0.0,top
C10,144.175,-79.9275,-90.0,top
C11,135.175,-73.9275,-90.0,top
C12,144.175,-69.9275,-90.0,top
C13,135.175,-60.0525,-90.0,top
C14,135.175,-63.9275,-90.0,top
C15,144.175,-59.9275,-90.0,top
C16,135.175,-49.9235,-90.0,top
C17,135.175,-53.7985,-90.0,top
C18,144.175,-49.7985,-90.0,top
C2,119.9125,-70.25,0.0,top
C3,119.375,-58.5625,90.0,top
C4,111.375,-58.5625,90.0,top
C5,111.375,-66.5625,90.0,top
C6,119.125,-66.4375,90.0,top
C7,135.175,-80.0525,-90.0,top
C8,135.175,-83.9275,-90.0,top
C9,135.175,-70.0525,-90.0,top
J1,152.07,-87.044,90.0,top
J2,152.07,-75.614,90.0,top
J3,152.07,-64.184,90.0,top
J4,152.07,-52.881,90.0,top
R1,139.175,-85.59,0.0,top
R2,139.175,-75.59,0.0,top
R3,139.175,-65.59,0.0,top
R4,139.175,-55.461,0.0,top
U1,115.7375,-60.95,0.0,top
U2,115.625,-69.0,0.0,top
U3,139.5,-81.2,90.0,top
U4,139.5,-71.2,90.0,top
U5,139.5,-61.2,90.0,top
U6,139.5,-51.071,90.0,top
